学校名,回数区分
慶應湘南藤沢,（帰国）
慶應中等部,1
慶應普通部,1
京華,（午前）
京華,（特選午前）
京華,（特選適性検査型）
京華,（特選午後）
京華,（２回午後）
京華,（２回特選午後）
京華,（３回）
京華,（３回特選）
啓明学園,1
啓明学園,（国語四技能）
啓明学園,（算数特待）
啓明学園,（英語特化）
啓明学園,（２回）
啓明学園,（プレゼンテーション）
啓明学園,（３回）
光英VERITAS,（第一志望）
光英VERITAS,1
光英VERITAS,（英語）
光英VERITAS,（理数特待）
光英VERITAS,（特待）
光英VERITAS,（２回）
光英VERITAS,（３回）
工学院大附,（１回Ａ）
工学院大附,（１回Ｂ特待）
工学院大附,（２回Ａ）
工学院大附,（２回Ｂ）
工学院大附,（３回）
工学院大附,（４回）
攻玉社,1
攻玉社,（２回）
攻玉社,（特別選抜）
攻玉社,（国際学級・国算）
佼成学園,1
佼成学園,（適性型特奨）
佼成学園,（特奨）
佼成学園,（２回）
佼成学園,（ＳＥ）
佼成学園,（３回）
佼成学園,（２回特奨）
佼成学園,（グローバル）
佼成学園,（グローバル特奨）
国学院久我山,1
国学院久我山,（ＳＴ）
国学院久我山,（２回）
国学院久我山,（ＳＴ２）
国学院久我山,（ＳＴ３）
国学院栃木,（１回一般）
国学院栃木,（１回自己推薦）
国学院栃木,（２回一般）
国学院栃木,（２回自己推薦）
国学院栃木,（英語）
国学院栃木,（適性検査）
国学院栃木,（３回一般）
国学院栃木,（３回自己推薦）
国際学院,（１回）
国際学院,（専願）
国際学院,（適性検査型）
国際学院,（２回特待）
国際学院,（英語）
国際学院,（３回）
国際学院,（４回特待）
国際学院,（５回）
国際学院,（６回）
国士舘,1
国士舘,（２回）
国士舘,（３回）
国士舘,（４回）
駒込,1
駒込,（２回）
駒込,（３回）
駒込,（４回特待）
駒込,（５回）
駒込,（特色）
駒場東邦,1
埼玉県立伊奈学園,1
埼玉栄,（１回進学）
埼玉栄,（３回進学）
埼玉栄,（５回進学）
埼玉栄,（１回難関大）
埼玉栄,（２回難関大）
埼玉栄,（３回難関大）
埼玉栄,（４回難関大）
埼玉栄,（５回難関大）
埼玉栄,（１回医学）
埼玉栄,（２回医学）
埼玉栄,（３回医学）
埼玉栄,（４回医学）
